"gene_id"	"expo_RPKM_rep1"	"expo_RPKM_rep2"	"stat_RPKM_rep1"	"stat_RPKM_rep2"
"TK1196"	238.946732555822	227.899656458191	168.597542713747	284.274763996423
"TK1197"	139.788058562018	86.7858554677042	102.312897352864	111.044829686103
"TK1198"	570.909931981154	424.00763551764	437.791088079462	358.378583060537
"TK1199"	175.501520730533	141.951549273575	133.221864360555	141.451961566866
"TK1200"	42.4692043058817	35.7576694112836	41.2027744907747	42.2334434215998
"TK1201"	49.8749372346585	42.0283702579448	177.466613105228	138.604576966689
"TK1202"	90.967200219411	112.054118148097	61.9637434636698	66.6268978116617
"TK1203"	101.324518095534	129.597764436973	65.936138557944	72.3082611909507
"TK1204"	116.688704391802	185.996583952477	72.8259055434105	84.7891107364604
"TK1205"	61.0392240289397	124.213575374397	79.6768448048732	213.984197351322
"TK1206"	50.9988757589261	31.4641946117971	43.4889551325404	65.4766326435985
"TK1207"	484.592034502159	580.318062279734	781.474060949217	694.030185538143
"TK1208"	116.379650719764	128.791794643853	133.038180532875	119.411220963823
"TK1209"	68.5543413882314	98.1506698741892	627.61150457465	620.508746103114
"TK1210"	57.3526634900215	39.1571755689424	27.6579258757761	70.3364214063819
"TK1211"	30.2832623358487	20.9085882694544	90.4882947701255	111.12825931021
"TK1212"	535.530195201698	238.188594355636	260.239060334622	427.450043864722
"TK1213"	159.116161029132	167.210200930553	246.475150516746	112.649008606127
"TK1214"	905.70235983954	1033.19026095855	951.703906041453	220.389125992633
"TK1215"	886.150078020952	1007.83495275544	927.127199096133	260.730258891357
"TK1216"	961.226063067964	1073.18118834454	896.464057714161	256.67397781103
"TK1217"	823.060661114029	976.751650436003	746.303027506778	244.642654041673
"TK1218"	567.834326921619	664.127220210303	460.082100178802	137.282745770949
"TK1219"	587.605666259982	653.755503674554	529.994157594107	156.303100812223
"TK1220"	646.143768426901	844.202065044957	616.06965082298	185.497886308191
"TK1221"	728.280041828153	826.483902651741	642.901592167365	127.830676034002
"TK1222"	915.826828279719	1256.89998963911	805.31740954357	188.59010181327
"TK1223"	789.313208693262	1032.87391366493	706.376392578747	143.889075086218
"TK1224"	662.039068263491	927.708324051453	624.317475683803	108.778608672101
"TK1225"	441.869547764751	534.496088858183	354.99769624552	76.9444489163548
"TK1226"	868.448592078805	766.961177995077	734.51883246766	276.67454751059
"TK1227"	310.112628030037	594.945967849601	496.069374861776	1830.90715186447
"TK1228"	728.600938862521	386.526783340672	102.147564687535	146.76616091952
"TK1229"	442.177107796134	371.320227575719	837.315098328723	931.654094550553
"TK1230"	264.159729643417	204.466352040416	297.531647504829	311.278357531388
"TK1231"	217.052394850805	140.05852533219	246.257678070361	467.057017411913
"TK1232"	424.977420891601	280.604976624046	463.384314418486	526.330344151356
"TK1233"	433.809519294515	610.773934161397	463.498284169525	390.683269406581
"TK1234"	369.188225793629	566.813614787272	411.789741169156	346.715511394019
"TK1235"	601.891092206085	352.665066893658	376.573385789203	505.000553261281
"TK1236"	19.8276298257287	27.9607464951711	17.7319622126743	41.6934118895777
"TK1237"	65.6941058298505	91.2338776727687	72.4009812467169	111.803678180541
"TK1238"	395.260259927719	438.191082740953	447.587425642502	481.855243102197
"TK1239"	582.06189096862	671.018676664887	336.387989643028	841.696656129146
"TK1240"	96.8577316547401	106.766214847981	52.471985638304	112.926945443495
"TK1241"	462.338851371562	486.207423608352	329.896093410429	372.793356803345
"TK1242"	254.432591902229	219.930737527017	162.557375104507	84.3378453312174
"TK1243"	723.46640000361	545.439736234434	484.116913656559	376.433983799221
"TK1244"	734.555959032363	670.265104844243	372.720838632476	859.121517774001
"TK1245"	13316.4832533879	10895.0010513154	7139.52105574386	11119.7618640954
"TK1246"	51.994964767786	106.47411668996	40.287424128182	18.5410604920535
"TK1247"	168.733562262531	238.274651525834	219.378888985775	271.593613980362
"TK1248"	127.877970101904	104.099741845301	142.968834980139	136.244529190929
"TK1249"	198.106347144495	204.894421989269	223.707575858875	252.722715837338
"TK1250"	291.023926056822	65.8331799317377	188.475596164855	187.585576625102
"TK1251"	7020.96932407447	2807.72905736944	4036.47060255969	5746.99703175462
"TK1252"	1553.99004284852	786.785748080554	944.236982220914	828.535463366233
"TK1253"	683.67739676026	396.558455010015	409.745788298442	281.716844184199
"TK1254"	7090.66814447285	3845.05549570783	4285.04558272931	3589.58868055077
"TK1255"	705.723138013191	400.334752641345	363.956224398731	494.328596667168
"TK1256"	545.016556850014	378.726666527299	368.857710424111	320.854237304787
"TK1257"	721.743511855458	480.046971856036	555.788867144198	312.632304008485
"TK1258"	217.256556125126	211.507557060842	56.349532091426	100.921528242068
"TK1259"	367.993665602819	425.993107664483	127.243275301067	315.44593211716
"TK1260"	55.536313460063	52.9678930084579	55.2310759629473	43.7923272001533
"TK1261"	263.720685317901	243.569974326458	271.14654394051	212.883870382684
"TK1262"	256.720852094774	205.775267366821	225.489675809193	246.633260542719
"TK1263"	919.751842072646	884.819242166923	1009.71529242987	1808.2833179341
"TK1264"	748.962017914477	726.112874989884	683.757187361355	1422.91109502339
"TK1265"	91.6098715119053	89.1268997385093	60.9757949143041	79.5928259021778
"TK1266"	250.994466970401	277.174202756716	231.543816261994	304.316626683023
"TK1267"	196.117892958376	116.816834707683	141.194568625291	105.659283673613
"TK1268"	708.49338455591	543.761713528921	529.540244899423	515.480398447736
"TK1269"	124.005261199601	69.4049561840149	70.7246011635231	74.6877049973515
"TK1270"	232.959064823946	334.686122042917	280.453139188333	435.678279151217
"TK1271"	73.0078962860672	138.703376102376	92.0775832476805	148.62273783083
"TK1272"	284.860368334968	160.496886515864	256.262833424029	386.121234562071
"TK1273"	14.4454664139459	10.5440758979454	18.4927229412709	27.2793707106047
"TK1274"	912.650756443702	901.95222282902	613.062205174569	990.989717888883
"TK1275"	404.947214285042	202.712002242857	161.755916269061	433.345676823816
"TK1276"	7028.79701373117	4421.34252759583	3934.5974825153	5409.75033116811
"TK1277"	4.64602127449566	2.29312219731739	62.308468438359	36.2927004339946
"TK1278"	436.429094301027	290.39882406501	226.336754356203	354.817798997015
"TK1279"	717.19454915031	550.515095225858	339.838643263875	547.196811344772
"TK1280"	1968.56145056085	1234.11667346536	1249.83038535569	1849.10570053799
"TK1281"	257.660520747921	304.684588471744	478.030932378541	507.633507136471
"TK1282"	115.623312809279	191.164739317796	499.013854224277	675.137783149784
"TK1283"	114.115474012017	63.3568043265001	90.5945998305433	145.542527934799
"TK1284"	552.411929537534	1971.36963556739	644.486580580407	413.975125069792
"TK1285"	418.485005506419	424.010893856497	363.689589802102	580.849878358077
"TK1286"	964.654273831322	607.004785555417	566.500104092604	702.839488064699
"TK1287"	468.509619330717	803.772467763751	690.617155442444	617.486278370121
"TK1288"	243.365921649137	227.270332834476	214.887366911776	160.871644402198
"TK1289"	685.644815542045	963.61801842965	110.113543673457	76.7561995563998
"TK1290"	226.93580261837	195.268174802334	116.204519191723	79.0126672766502
"TK1291"	486.370886161256	556.65288793382	288.117346366002	289.597088873008
"TK1292"	6182.30304087568	6148.56463130453	4906.12339287181	3207.75446695093
"TK1293"	162.755921049272	73.1799448742611	104.060533189485	73.5218089161118
"TK1294"	15.1824569173973	8.71343930398636	14.282149360433	16.8779907956635
"TK1295"	566.662487754809	654.235866044668	482.49739038872	564.648369856608
"TK1296"	153.408825547963	142.127560403631	100.932363505524	173.809298639118
"TK1297"	249.583311462233	150.172111679611	192.458302323114	366.864829816204
"TK1298"	399.540412469703	290.424893398953	321.523644720696	415.455445273592
"TK1299"	698.432739744537	549.948721671099	517.632274922659	402.370271422837
"TK1300"	196.222526695129	74.5391405962256	182.824122827432	128.223035383401
"TK1301"	113.393757317507	76.5281968592943	131.384488574797	99.6978907574793
"TK1302"	175.347199019777	145.161357598261	187.640681565491	196.769991365603
"TK1303"	17.6411487604988	18.5257162738942	123.359426772657	382.913205814148
"TK1304"	29.9767404327143	24.2774885981519	315.296816522086	535.612089594358
"TK1305"	444.587706390198	347.379298783367	407.837911316568	452.974948818558
"TK1306"	44.3642798339061	75.2144080720103	175.533108774091	192.390095456159
"TK1307"	865.770104887202	979.653311243263	1469.58647704723	1308.8031834759
"TK1308"	414.971235947413	216.677268286917	1013.49698176483	1057.49976879878
"TK1309"	4254.89494359605	3258.67349257798	2594.16289048286	3113.63138213447
"TK1310"	1650.40701394688	1000.49354133523	1116.75492676664	947.023830530538
